,candidate,text,sentiment
15,Bernie Sanders,Bernie Sanders Responds to Digs From Hillary Clinton: 'I’m Sorry That Hillary Clinton is Re-Running 2016'… https://t.co/r8BqEkKaJE,negative
16,Bernie Sanders,"@britishbullybee Yes ,I know .She is in the same mold as Bernie Sanders, Jeremy Corbyn and AOC",neutral
17,Bernie Sanders,"Do you believe Bernie Sanders late endorsement hurt Hillary Clinton campaign?🤔

#lockettinnation @HillaryClinton… https://t.co/kxMaGQdMof",negative
18,Bernie Sanders,"Supporting Bernie Sanders in the upcoming election should be HBCU’s, and college students top priority. Coming from… https://t.co/1Llfubhv2b",positive
19,Bernie Sanders,@BrennanMedlock 1.  Bernie Sanders 2. Tulsi Gabbard  3.-10.—Neoliberal establishment trash,neutral
20,Bernie Sanders,@BethLynch2020 Liz Warren is a fake progressive paid by the establishment to drown out the real true democratic can… https://t.co/EabDBLQcyI,positive
21,Bernie Sanders,@DaShanneStokes @HillaryClinton @BernieSanders Hillary cheated Bernie Sanders out of the DNC nomination.  And Ameri… https://t.co/9965YdjYD0,neutral
22,Bernie Sanders,@RealEddiePotter @Lil_Miss_Pink54 @TheRevAl @ggreenwald @KillerMike Please give us specific examples of how Bernie… https://t.co/oVOpl687jO,neutral
23,Bernie Sanders,"Pardon the trash, friends, but this was on my Google feed.
HRC is pissing and moaning about Berney not endorsing he… https://t.co/RmXKWjMvMK",neutral
24,Bernie Sanders,"#BernieSanders Despised #Democrats In 1980s, Said A JFK Speech Once Made Him Sick  https://t.co/k6fYdNXtwJ",negative
25,Bernie Sanders,Thread on a Hillary run in 2020: she would be most likely to enter to stop Bernie Sanders from being the nominee I… https://t.co/VmHqY2AGA1,positive
26,Bernie Sanders,Can say with express confidence that Bernie Sanders is polling at 0% among people that actually watch ‘The Marvelous Mrs. Maisel.’,positive
27,Bernie Sanders,RT @Terrence_STR: We need Bernie Sanders as POTUS and Jeremy Corbyn as Prime Minister of the UK. Just imagine the good that they will bring…,positive
28,Bernie Sanders,"RT @x_aliyah_: Sen. Bernie Sanders’ HBCU Organizing team is looking for Campus Corps Leaders. 

Here’s the application link:
https://t.co/e…",neutral
29,Bernie Sanders,"Sen. Bernie Sanders’ HBCU Organizing team is looking for Campus Corps Leaders. 

Here’s the application link:… https://t.co/yGNSX8kdvh",neutral
30,Bernie Sanders,"Sen. Bernie Sanders’ HBCU Organizing team is looking for Campus Corps Leaders. 

Here’s the application link:
https://t.co/eQnCX6SZvH",neutral
31,Bernie Sanders,"Well, here we go again. Look for my Dems to fuck up another slam-dunk. https://t.co/MrHPZKMtev",negative
32,Bernie Sanders,"Biden, 'The Irishman' and the enduring power of aging white men

https://t.co/lKkCcCVWIg",neutral
33,Bernie Sanders,"@BrennanMedlock 1. Bernie Sanders
2. Elizabeth Warren
3. Tulsi Gabbard
4. Julian Castro
5. Andrew Yang
6. Cory Book… https://t.co/mu8szX5Bpm",neutral
34,Bernie Sanders,"@BrennanMedlock Here’s my ranking of the candidates 
Like if you agree. Comment what your list is

1 Andrew Yang
2.… https://t.co/yquLyS7Thm",neutral
35,Bernie Sanders,Join me in supporting Bernie Sanders via @actblue https://t.co/8VcMd8Xkxt,positive
36,Bernie Sanders,"“Among likely Democratic caucusgoers who named Sanders as their top candidate in the November poll, 57% said their… https://t.co/9AlfhJgyET",positive
37,Bernie Sanders,We need Bernie Sanders as POTUS and Jeremy Corbyn as Prime Minister of the UK. Just imagine the good that they will… https://t.co/SohmCVWfGx,positive
38,Bernie Sanders,"@CalebJHull Are they really more deranged than antifa? I mean, you have a group of people out there who believe any… https://t.co/wlUYgwVnj6",positive
39,Bernie Sanders,"@CaptainKJ100 @CNBC Under Bernie Sanders’ plan, all public trade schools will also be free if you qualify academica… https://t.co/MECmxeqnMF",positive
40,Bernie Sanders,"RT @BFD1982USN: Bernie Sanders' sweeping broadband plan dubs high-speed internet another 'basic human right' also known as ‘free stuff’

ht…",positive
41,Bernie Sanders,"RT @BFD1982USN: Cal Thomas: 10 Commandments say something important about plans by Bernie Sanders and Elizabeth Warren

https://t.co/OG0PiW…",positive
42,Bernie Sanders,RT @iamcaramcclure: Keeanga-Yamahtta Taylor: Bernie Sanders Would “Transform the Lives of Poor and Working-Class People” https://t.co/CqIhe…,negative
43,Bernie Sanders,"Cal Thomas: 10 Commandments say something important about plans by Bernie Sanders and Elizabeth Warren

https://t.co/OG0PiWxIHW",positive
44,Bernie Sanders,Bernie Sanders' sweeping broadband plan dubs high-speed internet another 'basic human right' also known as ‘free st… https://t.co/jIl4ktfgmf,positive
45,Bernie Sanders,"Bernie Sanders campaign staffer departs after anti-Semitic, other offensive tweets surface: reports

https://t.co/fCakta8LDT",negative
46,Bernie Sanders,"@BillBarrowAP and by “left” I mean the Bernie sanders far left, not necessarily Biden",negative
47,Bernie Sanders,"@JustAGurLnSwedn @aaronjmate A child? You mean like pointing out Bernie Sanders net worth, as if my understanding o… https://t.co/RXGcvvq9yD",negative
48,Bernie Sanders,They’re too young to remember the #SovietUnion &amp; public schools didn’t teach them the horrors. They don’t know any… https://t.co/wcD4BZM7Kf,positive
49,Bernie Sanders,Bernie Sanders Tops New California Poll—But You Wouldn't Have Known It By Reading This LA Times Headline -… https://t.co/IEnMN1kyMY,positive
50,Bernie Sanders,"Major media, including the LA Times, are owned by 5 or 6 Wall Street mega-corporations. Go figure. https://t.co/PGOsilqDtc",positive
51,Bernie Sanders,"Sen. Bernie Sanders’ HBCU Organizing team is looking for Campus Corps Leaders. 

Here’s the application link:… https://t.co/dZD0sAD5sC",neutral
52,Bernie Sanders,Keeanga-Yamahtta Taylor: Bernie Sanders Would “Transform the Lives of Poor and Working-Class People”… https://t.co/IWGiMBEV5d,negative
53,Bernie Sanders,"❤️❤️❤️❤️❤️
Couldn't happen to a worse corporation.
Because they're the worst. Like most of all the years by literal… https://t.co/8wqm8PUv9a",negative
54,Bernie Sanders,yo I want Bernie Sanders to bust my fucking back walls bro,neutral
55,Bernie Sanders,At least someone has some perspective. https://t.co/E7sAifnOOp,negative
56,Bernie Sanders,RT @geezer_one: Does anyone know if Bernie Sanders $150 Billion Dollar broadband access plan includes reparations for all of us who have be…,neutral
57,Bernie Sanders,Does anyone know if Bernie Sanders $150 Billion Dollar broadband access plan includes reparations for all of us who… https://t.co/9cWALgzC0v,neutral
58,Bernie Sanders,"@chrislhayes It’s great so far, but would be even better if they revealed that Baby Yoda is really Bernie Sanders. https://t.co/a5g3NfsmZq",positive
59,Bernie Sanders,@JohnAMDG @k_sosay @AndrewHClark I saw Bernie Sanders and AOC together at a rally and it seemed like she was throwi… https://t.co/1s7H593c7y,neutral
60,Bernie Sanders,Michael Berry (@MichaelBerrySho): Popcorn: Hillary Now Says That Bernie Sanders Is A Russian Asset As Well https://t.co/tRXPqpMwkd,neutral
61,Bernie Sanders,"RT @robisraelart: If we tell everyone that Bernie Sanders is Baby Yoda, we’ll get Medicare For All. #berniesanders #babyyoda #MedicareForAl…",neutral
62,Bernie Sanders,"If we tell everyone that Bernie Sanders is Baby Yoda, we’ll get Medicare For All. #berniesanders #babyyoda… https://t.co/J5L6oUDVKb",neutral
63,Bernie Sanders,Bernie Sanders vs. The Machine https://t.co/E0vSO0wqSX https://t.co/RiJGnhJ588,neutral
64,Bernie Sanders,@MSNBC @allinwithchris @chrislhayes Still doing this Bernie Sanders thing. How many times has it been now? Lost cou… https://t.co/smW4BygcUn,positive
65,Bernie Sanders,anyways vote for bernie sanders so we can get medicare for all and make sure ppl like him can go to therapy! https://t.co/fqXTD7SYTg,positive
66,Bernie Sanders,"@nprpolitics This stage of the game,
You can't Rub them all together and get 1 good one.
They are all over the plac… https://t.co/ruKyEZE2vX",positive
67,Bernie Sanders,Bernie Sanders worships the demon-god Molech. Children are among the most vulnerable among us and he would have you… https://t.co/dz6gSXKNYe,neutral
68,Bernie Sanders,@teamikv12 @EmmaVigeland @nytimes She talks a lot but says very little because she’s a corporate shill.  She loves… https://t.co/xpB24LnRjI,negative
69,Bernie Sanders,RT @allenmendenhall: Rand Paul offers up an alternative student loan fix conservatives should support https://t.co/3hTBdL9TQ8,positive
70,Bernie Sanders,Rand Paul offers up an alternative student loan fix conservatives should support https://t.co/3hTBdL9TQ8,positive
71,Bernie Sanders,@pattymo As a single issue voter on minor league baseball I'm apparently voting for Bernie Sanders now and honestly… https://t.co/hxZFlMiF1s,positive
72,Bernie Sanders,"RT @GenderJill: Powerful moment today at @BernieSanders Carson City townhall. I’m not crying, you’re crying. https://t.co/4msKnw1HAI",positive
73,Bernie Sanders,"RT @charliekirk11: The Bernie Sanders campaign just fired a staffer who had tweeted ""anti-semitic &amp; misogynistic tweets"" including one refe…",neutral
74,Bernie Sanders,"RT @charliekirk11: Kamala Harris owns a gun—but she doesn't want you to own one

Bernie Sanders flies on private jets—but doesn't want you…",positive
75,Bernie Sanders,"RT @charliekirk11: This time 4 years ago, the frontrunners in the GOP primary were:

—Donald Trump

—Ted Cruz

—Marco Rubio

—Ben Carson

T…",positive
76,Bernie Sanders,@mazmunro @jeremycorbyn Do you think a democrat presidency under Bernie Sanders would be the same as under Bill Cli… https://t.co/OU2cBsOjF1,neutral
77,Bernie Sanders,"@fosterhenders @jeremycorbyn The Bernie Sanders of the UK, Labour is lucky to have such an empathetic leader.",positive
78,Bernie Sanders,"BERNIE SANDERS HAS BEEN FIGHTING [THE GOOD FIGHT]
FOR ALL OF U.S.
FOR OVER 30 YEARS.
ALMOST BY HIMSELF!!",positive
79,Bernie Sanders,"RT @charliekirk11: Did you know:

Bernie Sanders spent $342,000 on private jet travel in last two years

How did he make all of his money t…",negative
80,Bernie Sanders,@ClintonCrown @crown_saudi ok the same plan is in play that was spoken last year..bernie sanders and Larry Morgan..… https://t.co/uL4zll6OL1,positive
81,Bernie Sanders,"RT @charliekirk11: Wow:

While Venezuelan colleges fail because professors leave to find better work

Students are fainting from starvation…",positive
82,Bernie Sanders,@DailyCaller Everyone knows that Comrade Bernie Sanders is a Communist.  Tulsi Gabbard with the Democrat Party Flag… https://t.co/gJJ4I4HP5a,neutral
83,Bernie Sanders,RT @AnthonOwo: Bernie Sanders is so energetic and tireless. He's strong enough to make America  a better place for everyone who believes in…,positive
84,Bernie Sanders,TPP was one of the few things that Obama and congressional Republicans agreed on. But Trump agreed with Bernie Sand… https://t.co/eVEpdOLC4K,negative
85,Bernie Sanders,RT @slcpuke: bernie sanders wear hi-top af1s challenge,positive
86,Bernie Sanders,bernie sanders wear hi-top af1s challenge,positive
87,Bernie Sanders,"RT @riverhawkfox: @BernieSanders Berners, bernie bros, and bernie bras, open up your wallets, especially if you have not donated yet and ca…",neutral
88,Bernie Sanders,Joe Biden maintains a massive lead in a new South Carolina ranked-choice poll https://t.co/vSIhLyyVPC #rankedchoice,positive
89,Bernie Sanders,"RT @KaraMiddleton32: @KHiveQueenB Bernie is a grumpy, finger wagging, mean old man who yells at clouds and women. He is also using the Demo…",negative
90,Bernie Sanders,"@KHiveQueenB Bernie is a grumpy, finger wagging, mean old man who yells at clouds and women. He is also using the D… https://t.co/arj63XljVV",negative
91,Bernie Sanders,"@JenniferJJacobs @RepJerryNadler Wait, is that not what Hillary Clinton actually did to Bernie Sanders. What a stup… https://t.co/hONawYVIkF",neutral
92,Bernie Sanders,@msavoie7 @ofigh @NHDeunk @cgplayer1 @People4Bernie @whatwouldDOOdo https://t.co/a9975Hp6df,neutral
93,Bernie Sanders,Clinton's team being petty &amp; paranoid and running her campaign like they were party bosses &amp; we were washer workers… https://t.co/mKl080YUX3,neutral
94,Bernie Sanders,"@KHiveQueenB Fuck Bernie Sanders. They're being so dishonest about that interview, and it makes me sick.",negative
95,Bernie Sanders,I don't want to hear any comments about how Bernie Sanders isn't a real Democrat from anyone who supports Michael B… https://t.co/Lx1L2zQBve,positive
96,Bernie Sanders,@BernieSanders https://t.co/Gy2YCVGkg8,neutral
97,Bernie Sanders,"RT @Beer_til_mornin: @eaocon @KHiveQueenB Hmmm, let’s look at this. Out of the top 4 leaders for the democratic nomination:

Bernie Sanders…",positive
98,Bernie Sanders,"The enemy is not @realDonaldTrump
It is yourself. @BernieSanders  You are your own worst enemy.

Bernie Sanders cam… https://t.co/kOJh2VHC6I",negative
99,Bernie Sanders,"@eaocon @KHiveQueenB Hmmm, let’s look at this. Out of the top 4 leaders for the democratic nomination:

Bernie Sand… https://t.co/FJSnYdoDi5",positive
100,Bernie Sanders,"RT @Molliere49: @TwinklingTania @luxeprogressive @BernieSanders Well, I don't speak for my home local 474 but I endorse Bernie Sanders.",neutral
101,Bernie Sanders,"@TwinklingTania @luxeprogressive @BernieSanders Well, I don't speak for my home local 474 but I endorse Bernie Sanders.",neutral
102,Bernie Sanders,"@BillShaikin I have to admit, it’s not every day I agree with Bernie Sanders.

I expect his methods are another thing, though.",neutral
103,Bernie Sanders,"RT @KevinCarson1: It would probably help the Sanders campaign to have a TV show with a neotenous-featured ""Baby Bernie"" character.",neutral
104,Bernie Sanders,"It would probably help the Sanders campaign to have a TV show with a neotenous-featured ""Baby Bernie"" character.",neutral
105,Bernie Sanders,Bernie Sanders got folks texting y'all asking for a $2.70 donation?,neutral
106,Bernie Sanders,RT @cathalbrae: Bernie Sanders’ Broadband Plan Is Comcast’s Worst Nightmare - VICE https://t.co/ViFLa7G9Ec,negative
107,Bernie Sanders,RT @xeni: Feel the BernBand https://t.co/hNXHsZVXj6,neutral
108,Bernie Sanders,Bernie Sanders’ Broadband Plan Is Comcast’s Worst Nightmare - VICE https://t.co/ViFLa7G9Ec,negative
109,Bernie Sanders,Feel the BernBand https://t.co/hNXHsZVXj6,neutral
110,Bernie Sanders,"@dcexaminer @JoeBiden Is there a single democrat whose word is valid today, aside from maybe Bernie Sanders?",negative
111,Bernie Sanders,"@BernieSanders Berners, bernie bros, and bernie bras, open up your wallets, especially if you have not donated yet… https://t.co/karFgnIwer",neutral
112,Bernie Sanders,I love how Bernie Sanders can rightfully criticize Israel's government and the media is so angry that they can't ju… https://t.co/xj1H6OyxRk,neutral
113,Bernie Sanders,Bernie Sanders Pulls Ahead in Crucial Primary https://t.co/oRStArzdUz @Truthdig,positive
114,Bernie Sanders,"I would *never* vote for Bernie Sanders, and voting for Tulsi was never *ever* even a consideration.",neutral
115,Bernie Sanders,"@TheEconomist @alllibertynews Better question is how Bernie Sanders, Maxine Waters and other Democrat and Republica… https://t.co/UiFgzUthMR",positive
116,Bernie Sanders,Not to be dramatic but I would die for Bernie Sanders https://t.co/Fr8x4Jeznm,negative
117,Bernie Sanders,Bernie Sanders wants to combat #climate change by getting poor #foreigners to stop having kids #love the poor?  https://t.co/rbVL4qotUw,negative
118,Bernie Sanders,@BleacherReport Bernie Sanders is thrilled,positive
119,Bernie Sanders,"RT @Debwrightjones: Baseball Superstar: ‘In Case Bernie Sanders Defeat Trump in 2020, I’m Teaching My Kids How To Use Guns’ https://t.co/q6…",neutral
120,Bernie Sanders,*and Bernie Sanders https://t.co/FZUfWy7kzS,neutral
121,Bernie Sanders,Why I don’t like Bernie Sanders https://t.co/GvIjfG3veH,neutral
122,Bernie Sanders,"What do we really know about the lives of Cory Booker, Pete Buttigieg, Kamala Harris(just dropped out), Bernie Sand… https://t.co/tkAMYK7Lsw",positive
123,Bernie Sanders,When Bernie Sanders is president he’s gonna make NBAtv part of league pass,neutral
124,Bernie Sanders,"RT @riverhawkfox: Bernie Sanders will win if you sign up to volunteer now, call ten people, and then keep doing it every week, consistently…",positive
125,Bernie Sanders,"RT @GregCampNC: Right wingers need to be reminded again that what Bernie Sanders is proposing is not Venezuela, but is instead the kind of…",positive
126,Bernie Sanders,Slow Jam the News with Senator Bernie Sanders https://t.co/qcds6P9pyF via @YouTube #Bernie2020 #NotMeUs!,negative
127,Bernie Sanders,Pete's endorsement of Bernie Sanders: https://t.co/sQdbGbgO4z,neutral
128,Bernie Sanders,"RT @WilesWj: A massive &amp; moblized grassroots movement paired with the best economists, like @StephanieKelton, is how Bernie wins. #NotMeUs…",positive
129,Bernie Sanders,RT @Marlencha1992: Reminder that Bernie sanders voted with republicans in support of Minutemen at the border. The group that wanted to hunt…,neutral
130,Bernie Sanders,"@elivalley the right: Shapiro and Miller can't be anti-semites, they're Jewish :)

also the right:  but Bernie Sand… https://t.co/JQ8IwZKkQC",positive
131,Bernie Sanders,"RT @WilesWj: ""We are one world &amp; one people. And that belief leads me to the conclusion we cannot turn our back on human suffering."" Bernie…",neutral
132,Bernie Sanders,Why Bernie Sanders and Elizabeth Warren Will Win the Presidency with Rob... https://t.co/RvvYzsGBmA via @YouTube,positive
133,Bernie Sanders,"🌹 @BernieSanders 🌹 scores big progressive endorsement, besting @EWarren https://t.co/vCb1yjg0iy via @politico",neutral
134,Bernie Sanders,"A massive &amp; moblized grassroots movement paired with the best economists, like @StephanieKelton, is how Bernie wins… https://t.co/fuZNvV241v",positive
135,Bernie Sanders,"""We are one world &amp; one people. And that belief leads me to the conclusion we cannot turn our back on human sufferi… https://t.co/fvmGWnRkOZ",neutral
136,Bernie Sanders,@bocxtop Bernie Sanders is a fraud though https://t.co/YKM0wgKpvZ,neutral
137,Bernie Sanders,RT @bern_identity: Bernie Sanders is the ONLY candidate running for POTUS that I believe will actually stand up to Big Fossil Fuel and ban…,neutral
138,Bernie Sanders,@TeamPelosi Bernie Sanders...,neutral
139,Bernie Sanders,RT @Marlencha1992: https://t.co/d8IVuGLKnu,neutral
140,Bernie Sanders,Reminder that Bernie sanders voted with republicans in support of Minutemen at the border. The group that wanted to… https://t.co/ARGpRJjuYI,neutral
141,Bernie Sanders,RT @WilesWj: @BernieSanders ’s Path to Victory? The Multiracial Working 🌹 Class https://t.co/slG3Ulv5YK via @KeeangaYamahtta,neutral
142,Bernie Sanders,"RT @WilesWj: Over 1 million volunteers and growing! #NotMeUs #Bernie2020 #feelthebern 🗽🌈🌹🔥🔥🔥

Amid @BernieSanders ‘Resurgence,’ a Progressi…",neutral
143,Bernie Sanders,@BernieSanders ’s Path to Victory? The Multiracial Working 🌹 Class https://t.co/slG3Ulv5YK via @KeeangaYamahtta,neutral
144,Bernie Sanders,"Over 1 million volunteers and growing! #NotMeUs #Bernie2020 #feelthebern 🗽🌈🌹🔥🔥🔥

Amid @BernieSanders ‘Resurgence,’… https://t.co/9cmdC1aThy",neutral
145,Bernie Sanders,RT @bern_identity: Aww this is SO beautiful! ❤️ Wonderful glimpse of the faces of this movement. #Bernie2020 truly has the most diverse bas…,positive
146,Bernie Sanders,"RT @SustainergyA: I went to my first Bernie Sanders event organizing meeting tonite &amp; I was very impressed!! These ppl r really orgainized,…",positive
147,Bernie Sanders,Well she’s back and she’s still an unconscionable bitch bought and sold by the highest bidder most likely the fossi… https://t.co/f7JscZOr3E,positive
148,Bernie Sanders,"RT @bern_identity: Coming from Silicon Valley, I agree. For all Warren's talk of breaking up the tech giants, how's she gonna do that when…",neutral
149,Bernie Sanders,I went to my first Bernie Sanders event organizing meeting tonite &amp; I was very impressed!! These ppl r really orgai… https://t.co/s8HBKbSEyV,positive
150,Bernie Sanders,RT @normansolomon: https://t.co/0Pdr7Gfsv6 “Congress must vote against this disastrous Pentagon authorization — a bill of astonishing moral…,negative
151,Bernie Sanders,Hillary was right in this. This  should give pause to any Bernie Sanders supporters out there that don't think he i… https://t.co/4lOl1LITo5,positive
152,Bernie Sanders,https://t.co/0Pdr7Gfsv6 “Congress must vote against this disastrous Pentagon authorization — a bill of astonishing… https://t.co/skkli8C617,negative
153,Bernie Sanders,"It’s Time to Get Billionaires Off of Welfare

https://t.co/OxVDRdRrUP",neutral
154,Bernie Sanders,Aww this is SO beautiful! ❤️ Wonderful glimpse of the faces of this movement. #Bernie2020 truly has the most divers… https://t.co/1zyFxVeHLt,positive
155,Bernie Sanders,why does Bernie Sanders hate poor Middle Easterners? https://t.co/DPaua3dca6,negative
156,Bernie Sanders,"RT @MikeyHippie: @merlins_girl @POTUS It's an easy win for Trump over creepy sleepy Joe. And Bernie Sanders and all of them, cause they've…",positive
157,Bernie Sanders,"RT @bllyray: Removed all my Bernie Sanders tags on Twitter so when I argue with Trump, Biden and Warren zombies they can’t throw that old l…",positive
158,Bernie Sanders,"Removed all my Bernie Sanders tags on Twitter so when I argue with Trump, Biden and Warren zombies they can’t throw… https://t.co/ZKc8Zi5ky8",neutral
159,Bernie Sanders,The Remainder of the Democratic nominees  should all MOVE INTO BERNIE SANDERS TO HOME. EXPERIENCE SOCIALISM.,neutral
160,Bernie Sanders,"@HillaryClinton Im sorry, but your howard stern interview was horrible.  Going after Bernie Sanders.  If bernie wou… https://t.co/Nc8TeoIwaY",negative
161,Bernie Sanders,"I approve ✅
https://t.co/psxdcAalmh",neutral
162,Bernie Sanders,"Do I blame Bernie Sanders for losing the 2016 election? Yeah.

But I blame Jill Stein and Ron Johnson more than Bernie.",positive
163,Bernie Sanders,"@merlins_girl @POTUS It's an easy win for Trump over creepy sleepy Joe. And Bernie Sanders and all of them, cause t… https://t.co/LSrAekaoEt",positive
164,Bernie Sanders,@JShayneMahon @AnimeBezos @hazelhering I respectfully disagree. Both Warren &amp; Sanders have had issues w/harassment/… https://t.co/Ch9irZNeLz,positive
165,Bernie Sanders,"RT @Sudesh18483556: In 57 days, Bernie Sanders is going to win the Iowa Caucus.                               

Pass it on. https://t.co/Pe…",positive
166,Bernie Sanders,"@JoeBiden Bernie Sanders 2020
Drop Out Now Joe
#BernieBeatsTrump",neutral
167,Bernie Sanders,Bernie Sanders is the ONLY candidate running for POTUS that I believe will actually stand up to Big Fossil Fuel and… https://t.co/kIokeYXSFr,neutral
168,Bernie Sanders,"In Iowa Falls, @berniesanders warns of 'perilous moment in American history' https://t.co/QpMsyDW5k9",neutral
169,Bernie Sanders,@KHiveQueenB Bernie Sanders cares only about Bernie Sanders. Fuck him and his wannabe Democratic campaign. That shi… https://t.co/OxRwmsTu6W,negative
170,Bernie Sanders,@BernieSanders unveils plan to expand access to affordable internet https://t.co/BpHU9J9xJj,neutral
171,Bernie Sanders,Why Bernie Sanders and Elizabeth Warren Will Win the Presidency with Rob... https://t.co/ZDoS9IW9fS via @YouTube… https://t.co/3o2HyFsbDr,positive
172,Bernie Sanders,Teachers’ union in Los Angeles endorses a presidential candidate — and it’s Bernie Sanders https://t.co/5ltFuDhcXc,neutral
173,Bernie Sanders,Bernie Sanders’s Path to Victory? The Multiracial Working Class https://t.co/MgOGvVlqpX,neutral
174,Bernie Sanders,@Bretontheradio And Bernie. Bret Saunders and Bernie Sanders kind is has an alliteration thing going on. Sanders/Saunders 2020!,positive
175,Bernie Sanders,@ClimateHuman @BernieSanders Resurfaced Video Shows Bernie Sanders Criticizing Media for Not Covering Climate Chang… https://t.co/QG09ZTYkUo,neutral
176,Bernie Sanders,RT @MitchRanda11: BREAKING: Sen Bernie Sanders (VT) suffers a humiliating nosedive down to first place in Nevada leaving analysts no choice…,negative
177,Bernie Sanders,Bernie Sanders is Trump on the left. He’s trash. No thanks. https://t.co/yoHVHCjAwT,negative
178,Bernie Sanders,"RT @atwellorama: I am an independent voter, and I am voting for Bernie Sanders! https://t.co/riQBBZ5kz3",neutral
179,Bernie Sanders,"I am an independent voter, and I am voting for Bernie Sanders! https://t.co/riQBBZ5kz3",neutral
180,Bernie Sanders,"High-speed internet access is a ""basic human right,"" according to Sen. Bernie Sanders, who is proposing a $150 bill… https://t.co/6qAhRJz7YM",positive
181,Bernie Sanders,"@luismen1991 No i agree, many older voters will go for safer bets. Yang( I like him as a person, tbh) will be somew… https://t.co/eFMuuXaonq",positive
182,Bernie Sanders,"@gingerjonesNYC There's literally no one running who's better. ¯\_(ツ)_/¯ In trying to appease Bernie Sanders, the DNC fucked us all..",negative
183,Bernie Sanders,"RT @seinathesouf: ""BERNing In The Name Of"" by Sanders Against The Machine.

The anthem of the Bernie revolution! 😄🎵

This is a guitar I hav…",neutral
184,Bernie Sanders,BREAKING: Sen Bernie Sanders (VT) suffers a humiliating nosedive down to first place in Nevada leaving analysts no… https://t.co/VwUejnonOK,negative
185,Bernie Sanders,"@pbs WTF, where was Bernie Sanders on your segment on the candidates debate?",negative
186,Bernie Sanders,"Bernie Sanders, thank you for helping save this veteran’s life. This moved me to tears of joy and pride seeing one… https://t.co/ucJXs1eRve",positive
187,Bernie Sanders,"@PepperOceanna @nessrose ""Our Cabinet will look like America and not like a country club."" ~ Bernie Sanders… https://t.co/3EopbFA1YQ",neutral
188,Bernie Sanders,"Bernie                      Warren

                     🤝

Joining with House Progressives to challenge Nancy Pelo… https://t.co/IGr0Hzlmod",neutral
189,Bernie Sanders,RT @davidsirota: Biden: Launched his presidential campaign with a fundraiser at the home of a top Comcast executive https://t.co/BLDg0Io68Y…,positive
190,Bernie Sanders,RT @DaveMichels: Bernie Sanders’ Broadband Plan Is Comcast’s Worst Nightmare https://t.co/Dfacb3fdj0 https://t.co/befnb3s1Km,negative
191,Bernie Sanders,Bernie Sanders’ Broadband Plan Is Comcast’s Worst Nightmare https://t.co/Dfacb3fdj0 https://t.co/befnb3s1Km,negative
192,Bernie Sanders,"It's that time of the primaries, now everyone is attacking Bernie Sanders and their supporters. 

I support ALL dems",neutral
193,Bernie Sanders,And the stated policy of Bernie Sanders and Elizabeth Warren (ish) is to take that very popular thing away. It’s al… https://t.co/3wrkOLWAM1,positive
194,Bernie Sanders,RT @davidsirota: Proud to work for the only 2020 candidate who has released a comprehensive plan “to rebuild and protect a diverse and trul…,positive
195,Bernie Sanders,"Bernie Sanders unveils broadband plan, calls for restoration of net neutrality rules, ban on data caps… https://t.co/q1bTKDg6Dw",neutral
196,Bernie Sanders,"@Riseup4D @BethLynch2020 On July 7, 2009, Dems held 58 seats in the Senate with two independents - Bernie Sanders a… https://t.co/xFpuhfEH7K",neutral
